"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
65,5.3014,7.29894e-10,5.29412,1.33226e-15,1,0,1,0
66,5.3014,7.28509e-10,5.29412,1.33227e-15,1,0,1,0
67,5.3014,7.27512e-10,5.29412,1.33227e-15,1,0,1,0
68,5.3014,7.26634e-10,5.29412,1.33227e-15,1,0,1,0
69,5.3014,7.26128e-10,5.29412,1.33227e-15,1,0,1,0
70,5.3014,7.25556e-10,5.29412,1.33227e-15,1,0,1,0
71,5.3014,7.24451e-10,5.29412,1.33227e-15,1,0,1,0
72,5.3014,7.23653e-10,5.29412,1.33227e-15,1,0,1,0
73,5.3014,7.23224e-10,5.29412,1.33227e-15,1,0,1,0
74,5.3014,7.22945e-10,5.29412,1.33227e-15,1,0,1,0
75,5.3014,7.22404e-10,5.29412,1.33227e-15,1,0,1,0
76,5.3014,7.21716e-10,5.29412,1.33227e-15,1,0,1,0
77,5.3014,7.20841e-10,5.29412,1.33227e-15,1,0,1,0
78,5.3014,7.19955e-10,5.29412,1.33227e-15,1,0,1,0
79,5.3014,7.19068e-10,5.29412,1.33227e-15,1,0,1,0
80,5.3014,7.18754e-10,5.29412,1.33227e-15,1,0,1,0
81,5.3014,7.18754e-10,5.29412,1.33227e-15,1,0,1,0
82,5.3014,7.18673e-10,5.29412,1.33227e-15,1,0,1,0
83,5.3014,7.18592e-10,5.29412,1.33227e-15,1,0,1,0
84,5.3014,7.18511e-10,5.29412,1.33227e-15,1,0,1,0
85,5.3014,7.1846e-10,5.29412,1.33227e-15,1,0,1,0
86,5.3014,7.18423e-10,5.29412,1.33227e-15,1,0,1,0
87,5.3014,7.18386e-10,5.29412,1.33227e-15,1,0,1,0
88,5.3014,7.18349e-10,5.29412,1.33227e-15,1,0,1,0
89,5.3014,7.18312e-10,5.29412,1.33227e-15,1,0,1,0
90,5.3014,7.18276e-10,5.29412,1.33227e-15,1,0,1,0
91,5.3014,7.18232e-10,5.29412,1.33227e-15,1,0,1,0
92,5.3014,7.1813e-10,5.29412,1.33227e-15,1,0,1,0
93,5.3014,7.18028e-10,5.29412,1.33227e-15,1,0,1,0
