"time","IAE_1.y","IAE_2.y","IE1.y","IE2.y","r_11.y","r_22.y","y_11.y","y_22.y"
61,4.66667,2.48702e-8,4.66667,1.12154e-13,1,0,1,5.16476e-13
62,4.66667,2.44427e-8,4.66667,-1.2309e-13,1,0,1,-2.97096e-13
63,4.66667,2.43652e-8,4.66667,8.55399e-14,1,0,1,2.02949e-13
64,4.66667,2.44465e-8,4.66667,2.57608e-13,1,0,1,8.95284e-13
65,4.66667,2.45311e-8,4.66667,-3.19165e-13,1,0,1,-8.10907e-13
66,4.66667,2.45672e-8,4.66667,-2.25238e-13,1,0,1,-9.28146e-13
67,4.66667,2.45913e-8,4.66667,8.07334e-13,1,0,1,2.38343e-12
68,4.66667,2.45814e-8,4.66667,1.04935e-12,1,0,1,3.68239e-12
69,4.66667,2.45317e-8,4.66667,-1.83002e-13,1,0,1,-8.12683e-14
70,4.66667,2.45283e-8,4.66667,-2.75962e-14,1,0,1,-1.09246e-13
71,4.66667,2.45288e-8,4.66667,6.77211e-15,1,0,1,1.19904e-14
72,4.66667,2.45288e-8,4.66667,-4.18271e-14,1,0,1,-8.17124e-14
73,4.66667,2.4522e-8,4.66667,-8.71024e-14,1,0,1,-1.46994e-13
74,4.66667,2.4469e-8,4.66667,-4.89824e-14,1,0,1,-9.41469e-14
75,4.66667,2.43877e-8,4.66667,2.8217e-14,1,0,1,1.08358e-13
76,4.66667,2.42889e-8,4.66667,9.46604e-14,1,0,1,3.33067e-13
77,4.66667,2.41948e-8,4.66667,6.54434e-14,1,0,1,2.82441e-13
78,4.66667,2.41149e-8,4.66667,-3.51838e-14,1,0,1,-5.55112e-14
79,4.66667,2.40512e-8,4.66667,-1.22166e-13,1,0,1,-3.58824e-13
80,4.66667,2.40078e-8,4.66667,-1.28846e-13,1,0,1,-4.05009e-13
81,4.66667,2.39848e-8,4.66667,-4.26763e-14,1,0,1,-1.45217e-13
82,4.66667,2.39666e-8,4.66667,-2.9791e-14,1,0,1,-1.11466e-13
83,4.66667,2.39609e-8,4.66667,-1.03322e-14,1,0,1,-4.9738e-14
84,4.66667,2.39784e-8,4.66667,6.41077e-15,1,0,1,1.02141e-14
85,4.66667,2.40251e-8,4.66667,1.51107e-14,1,0,1,4.88498e-14
86,4.66667,2.40957e-8,4.66667,2.05059e-14,1,0,1,8.30447e-14
87,4.66667,2.41673e-8,4.66667,1.92476e-14,1,0,1,8.4821e-14
88,4.66667,2.42463e-8,4.66667,1.22747e-14,1,0,1,6.12843e-14
89,4.66667,2.43306e-8,4.66667,1.58555e-15,1,0,1,2.08722e-14
90,4.66667,2.43986e-8,4.66667,-4.26419e-15,1,0,1,-5.77316e-15
91,4.66667,2.44613e-8,4.66667,-9.68319e-15,1,0,1,-3.33067e-14
92,4.66667,2.44899e-8,4.66667,-1.10789e-14,1,0,1,-4.30767e-14
93,4.66667,2.44898e-8,4.66667,-8.96385e-15,1,0,1,-3.55271e-14
94,4.66667,2.44898e-8,4.66667,-6.84884e-15,1,0,1,-2.75335e-14
95,4.66667,2.44897e-8,4.66667,-4.73383e-15,1,0,1,-1.9984e-14
96,4.66667,2.44897e-8,4.66667,-2.61882e-15,1,0,1,-1.19904e-14
97,4.66667,2.44896e-8,4.66667,-6.31525e-16,1,0,1,-4.88498e-15
98,4.66667,2.44892e-8,4.66667,5.16549e-16,1,0,1,4.44089e-16
99,4.66667,2.4489e-8,4.66667,4.26138e-16,1,0,1,8.88178e-16
100,4.66667,2.44886e-8,4.66667,1.81485e-16,1,0,1,4.44089e-16
100,4.66667,2.44886e-8,4.66667,1.81485e-16,1,0,1,4.44089e-16
100,4.66667,2.44886e-8,4.66667,1.81485e-16,1,0,1,4.44089e-16
100,4.66667,2.44886e-8,4.66667,1.81485e-16,0,1,1,4.44089e-16
101,7.06644,0.277366,2.26689,0.271091,0,1,1.77066,1.0334
102,8.00476,0.319781,1.32858,0.228676,0,1,0.426772,1.0272
103,8.30237,0.332498,1.03097,0.215959,0,1,0.240562,1.00363
104,8.52802,0.333608,0.80531,0.21485,0,1,0.2107,0.999986
105,8.71932,0.333708,0.614013,0.21495,0,1,0.170648,0.999919
106,8.86963,0.333749,0.463705,0.21499,0,1,0.131011,0.999987
107,8.98398,0.333753,0.349357,0.214994,0,1,0.0990493,1
108,9.07025,0.333753,0.263079,0.214994,0,1,0.0746397,1
109,9.13525,0.333753,0.198088,0.214994,0,1,0.0562093,1
110,9.18418,0.333753,0.149149,0.214994,0,1,0.0423238,1
111,9.22103,0.333753,0.1123,0.214994,0,1,0.0318674,1
112,9.24878,0.333753,0.084555,0.214994,0,1,0.0239942,1
113,9.26967,0.333753,0.0636648,0.214994,0,1,0.0180662,1
114,9.2854,0.333753,0.0479358,0.214994,0,1,0.0136027,1
115,9.29724,0.333753,0.0360928,0.214994,0,1,0.010242,1
116,9.30616,0.333753,0.0271757,0.214994,0,1,0.00771164,1
117,9.31287,0.333753,0.0204616,0.214994,0,1,0.0058064,1
118,9.31793,0.333753,0.0154064,0.214994,0,1,0.00437187,1
119,9.32173,0.333753,0.0116001,0.214994,0,1,0.00329175,1
120,9.3246,0.333753,0.00873416,0.214994,0,1,0.00247849,1
121,9.32676,0.333753,0.0065763,0.214994,0,1,0.00186616,1
122,9.32838,0.333753,0.00495155,0.214994,0,1,0.0014051,1
123,9.32961,0.333753,0.00372822,0.214994,0,1,0.00105796,1
124,9.33053,0.333753,0.00280713,0.214994,0,1,0.000796579,1
125,9.33122,0.333753,0.0021136,0.214994,0,1,0.000599776,1
126,9.33174,0.333753,0.00159141,0.214994,0,1,0.000451595,1
127,9.33214,0.333753,0.00119824,0.214994,0,1,0.000340024,1
128,9.33243,0.333753,0.0009022,0.214994,0,1,0.000256017,1
129,9.33265,0.333753,0.000679303,0.214994,0,1,0.000192766,1
130,9.33282,0.333753,0.000511474,0.214994,0,1,0.000145141,1
131,9.33295,0.333753,0.000385109,0.214994,0,1,0.000109282,1
132,9.33304,0.333753,0.000289964,0.214994,0,1,8.22831e-5,1
133,9.33311,0.333753,0.000218326,0.214994,0,1,6.19543e-5,1
134,9.33317,0.333753,0.000164386,0.214994,0,1,4.66479e-5,1
135,9.33321,0.333753,0.000123773,0.214994,0,1,3.51231e-5,1
136,9.33324,0.333753,9.31937e-5,0.214994,0,1,2.64456e-5,1
137,9.33326,0.333753,7.01693e-5,0.214994,0,1,1.99119e-5,1
138,9.33328,0.333753,5.28333e-5,0.214994,0,1,1.49925e-5,1
139,9.33329,0.333753,3.97803e-5,0.214994,0,1,1.12885e-5,1
140,9.3333,0.333753,2.99522e-5,0.214994,0,1,8.49954e-6,1
141,9.33331,0.333753,2.25522e-5,0.214994,0,1,6.39965e-6,1
142,9.33332,0.333753,1.69805e-5,0.214994,0,1,4.81855e-6,1
143,9.33332,0.333753,1.27853e-5,0.214994,0,1,3.62808e-6,1
144,9.33332,0.333753,9.62656e-6,0.214994,0,1,2.73173e-6,1
145,9.33333,0.333753,7.24827e-6,0.214994,0,1,2.05684e-6,1
146,9.33333,0.333753,5.45759e-6,0.214994,0,1,1.5487e-6,1
147,9.33333,0.333753,4.10931e-6,0.214994,0,1,1.1661e-6,1
148,9.33333,0.333753,3.09412e-6,0.214994,0,1,8.78019e-7,1
149,9.33333,0.333753,2.32973e-6,0.214994,0,1,6.61107e-7,1
150,9.33333,0.333753,1.75418e-6,0.214994,0,1,4.97784e-7,1
151,9.33333,0.333753,1.32082e-6,0.214994,0,1,3.74808e-7,1
152,9.33333,0.333753,9.94513e-7,0.214994,0,1,2.82213e-7,1
153,9.33333,0.333753,7.48824e-7,0.214994,0,1,2.12494e-7,1
154,9.33333,0.333753,5.63829e-7,0.214994,0,1,1.59998e-7,1
155,9.33333,0.333753,4.24538e-7,0.214994,0,1,1.20471e-7,1
156,9.33333,0.333753,3.19657e-7,0.214994,0,1,9.07092e-8,1
157,9.33333,0.333753,2.40687e-7,0.214994,0,1,6.82998e-8,1
158,9.33333,0.333753,1.81229e-7,0.214994,0,1,5.14273e-8,1
159,9.33333,0.333753,1.3648e-7,0.214994,0,1,3.87293e-8,1
160,9.33333,0.333753,1.02795e-7,0.214994,0,1,2.91711e-8,1
161,9.33333,0.333753,7.74332e-8,0.214994,0,1,2.19873e-8,1
162,9.33333,0.333753,5.83225e-8,0.214994,0,1,1.65759e-8,1
163,9.33333,0.333753,4.39296e-8,0.214994,0,1,1.24491e-8,1
164,9.33333,0.333753,3.31323e-8,0.214994,0,1,9.30409e-9,1
165,9.33333,0.333753,2.50376e-8,0.214994,0,1,7.00294e-9,1
166,9.33333,0.333753,1.89142e-8,0.214994,0,1,5.34882e-9,1
167,9.33333,0.333753,1.42336e-8,0.214994,0,1,4.09387e-9,1
168,9.33333,0.333753,1.0663e-8,0.214994,0,1,3.0719e-9,1
169,9.33333,0.333753,8.00352e-9,0.214994,0,1,2.26561e-9,1
170,9.33333,0.333753,6.03936e-9,0.214994,0,1,1.68617e-9,1
171,9.33333,0.333753,4.57299e-9,0.214994,0,1,1.28393e-9,1
172,9.33333,0.333753,3.45793e-9,0.214994,0,1,9.86938e-10,1
173,9.33333,0.333753,2.6064e-9,0.214994,0,1,7.48326e-10,1
174,9.33333,0.333753,1.96312e-9,0.214994,0,1,5.49955e-10,1
175,9.33333,0.333753,1.48758e-9,0.214994,0,1,4.00114e-10,1
176,9.33333,0.333753,1.13489e-9,0.214994,0,1,3.05736e-10,1
177,9.33333,0.333753,8.63261e-10,0.214994,0,1,2.44988e-10,1
178,9.33333,0.333753,6.4921e-10,0.214994,0,1,1.92709e-10,1
179,9.33333,0.333753,4.85755e-10,0.214994,0,1,1.46342e-10,1
180,9.33333,0.333753,3.67366e-10,0.214994,0,1,1.07686e-10,1
181,9.33333,0.333753,2.70893e-10,0.214994,0,1,7.73681e-11,1
182,9.33333,0.333753,2.01624e-10,0.214994,0,1,5.51363e-11,1
183,9.33333,0.333753,1.46443e-10,0.214994,0,1,3.96128e-11,1
184,9.33333,0.333753,1.08838e-10,0.214994,0,1,3.11275e-11,1
185,9.33333,0.333753,7.57456e-11,0.214994,0,1,2.49316e-11,1
186,9.33333,0.333753,5.09173e-11,0.214994,0,1,2.23535e-11,1
187,9.33333,0.333753,2.90063e-11,0.214994,0,1,1.78906e-11,1
188,9.33333,0.333753,1.17302e-11,0.214994,0,1,1.32492e-11,1
189,9.33333,0.333753,-8.49555e-13,0.214994,0,1,8.48943e-12,1
190,9.33333,0.333753,-8.60863e-12,0.214994,0,1,3.68017e-12,1
191,9.33333,0.333753,-6.84397e-12,0.214994,0,1,2.76845e-12,1
192,9.33333,0.333753,-5.07931e-12,0.214994,0,1,1.85629e-12,1
193,9.33333,0.333753,-3.31465e-12,0.214994,0,1,9.44134e-13,1
194,9.33333,0.333753,-1.66447e-12,0.214994,0,1,7.83817e-14,1
195,9.33333,0.333753,-2.18837e-12,0.214994,0,1,9.4591e-14,1
196,9.33333,0.333753,-2.71228e-12,0.214994,0,1,1.11022e-13,1
197,9.33333,0.333753,-3.23618e-12,0.214994,0,1,1.2701e-13,1
198,9.33333,0.333753,-3.13586e-12,0.214994,0,1,-4.13003e-14,1
199,9.33333,0.333753,-2.35874e-12,0.214994,0,1,-4.10338e-13,1
200,9.33333,0.333753,-1.58162e-12,0.214994,0,1,-7.80265e-13,1
200,9.33333,0.333753,-1.58162e-12,0.214994,1,1,-7.80265e-13,1
200,9.33333,0.333753,1.94867e-12,0.214994,1,1,-3.4277e-12,1
200,9.33333,0.333753,1.94867e-12,0.214994,1,0,-3.4277e-12,1
201,11.7331,0.611119,2.39978,-0.0560972,1,0,-0.770657,-0.0334012
202,12.6714,0.653534,3.33809,-0.0136824,1,0,0.573228,-0.0272039
203,12.969,0.666251,3.6357,-0.000965175,1,0,0.759438,-0.0036266
204,13.1947,0.667361,3.86136,0.000144458,1,0,0.7893,1.37526e-5
205,13.386,0.667461,4.05265,4.42279e-5,1,0,0.829352,8.14611e-5
206,13.5363,0.667502,4.20296,3.92578e-6,1,0,0.868989,1.2745e-5
207,13.6506,0.667506,4.31731,-3.37883e-7,1,0,0.900951,2.60746e-7
208,13.7369,0.667506,4.40359,-1.39906e-7,1,0,0.92536,-2.36776e-7
209,13.8019,0.667506,4.46858,-1.50209e-8,1,0,0.943791,-4.3617e-8
210,13.8509,0.667506,4.51752,6.52037e-10,1,0,0.957676,-1.81046e-9
211,13.8877,0.667506,4.55437,4.32702e-10,1,0,0.968133,6.63326e-10
212,13.9154,0.667506,4.58211,5.50441e-11,1,0,0.976006,1.45789e-10
213,13.9363,0.667506,4.603,-6.41392e-13,1,0,0.981934,8.85159e-12
214,13.9521,0.667506,4.61873,-1.30537e-12,1,0,0.986397,-1.76881e-12
215,13.9639,0.667506,4.63057,-1.953e-13,1,0,0.989758,-4.76952e-13
216,13.9728,0.667506,4.63949,7.81389e-16,1,0,0.992288,-3.41949e-14
217,13.9795,0.667506,4.64621,2.08212e-15,1,0,0.994194,-2.22045e-15
218,13.9846,0.667506,4.65126,-4.28521e-16,1,0,0.995628,1.42109e-14
219,13.9884,0.667506,4.65507,2.51153e-15,1,0,0.996708,-3.81917e-14
220,13.9913,0.667506,4.65793,1.01372e-15,1,0,0.997522,-4.44089e-16
221,13.9934,0.667506,4.66009,-1.47938e-14,1,0,0.998134,1.19904e-13
222,13.995,0.667506,4.66172,-6.63332e-14,1,0,0.998595,-2.81997e-13
223,13.9963,0.667506,4.66294,7.46491e-14,1,0,0.998942,1.06137e-13
224,13.9972,0.667506,4.66386,-2.27795e-14,1,0,0.999203,-1.55875e-13
225,13.9979,0.667506,4.66455,5.67633e-14,1,0,0.9994,7.4607e-14
226,13.9984,0.667506,4.66508,-1.31095e-13,1,0,0.999548,-1.92735e-13
227,13.9988,0.667506,4.66547,8.71582e-14,1,0,0.99966,2.34923e-13
228,13.9991,0.667506,4.66576,-1.31538e-13,1,0,0.999744,-1.96287e-13
229,13.9993,0.667506,4.66599,1.55605e-13,1,0,0.999807,4.04121e-13
230,13.9995,0.667506,4.66616,-2.88764e-15,1,0,0.999855,-5.77316e-15
231,13.9996,0.667506,4.66628,-1.84116e-13,1,0,0.999891,-7.1898e-13
232,13.9997,0.667506,4.66638,-2.89305e-13,1,0,0.999918,-6.35936e-13
233,13.9998,0.667506,4.66645,1.16719e-12,1,0,0.999938,3.74145e-12
234,13.9998,0.667506,4.6665,-1.5486e-14,1,0,0.999953,-1.16795e-13
235,13.9999,0.667506,4.66654,-1.00132e-12,1,0,0.999965,-2.38964e-12
236,13.9999,0.667506,4.66657,-5.78118e-13,1,0,0.999974,-1.3558e-12
