"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_2.y","IE_1.y","IAE_1.y","IAE_2.y"
71,1,0,0.999883,0.000132409,-0.644822,0.644855,4.19463,4.33062
72,1,0,0.999972,5.77994e-5,-0.644925,0.644932,4.19471,4.33072
73,1,0,1.00006,-4.73445e-5,-0.644928,0.64491,4.19474,4.33075
74,1,0,1.00008,-9.11976e-5,-0.644851,0.644828,4.19482,4.33083
75,1,0,1.00003,-5.16155e-5,-0.644774,0.644766,4.19488,4.33091
76,1,0,0.999965,2.11352e-5,-0.644759,0.644769,4.1949,4.33093
77,1,0,0.999941,6.08924e-5,-0.644805,0.644821,4.19495,4.33097
78,1,0,0.99997,4.26541e-5,-0.644861,0.644869,4.195,4.33103
79,1,0,1.00002,-6.15177e-6,-0.64488,0.644875,4.19501,4.33105
80,1,0,1.00004,-3.93255e-5,-0.644854,0.644843,4.19504,4.33107
81,1,0,1.00003,-3.34082e-5,-0.644815,0.644808,4.19508,4.33111
82,1,0,0.999993,-1.72327e-6,-0.644796,0.644798,4.19509,4.33113
83,1,0,0.999974,2.44435e-5,-0.644809,0.644816,4.19511,4.33114
84,1,0,0.99998,2.51021e-5,-0.644836,0.644842,4.19513,4.33117
85,1,0,1,5.28557e-6,-0.644852,0.644852,4.19514,4.33119
86,1,0,1.00002,-1.44882e-5,-0.644847,0.644842,4.19515,4.33119
87,1,0,1.00002,-1.82121e-5,-0.644829,0.644825,4.19517,4.33121
88,1,0,1,-6.37249e-6,-0.644816,0.644815,4.19518,4.33123
89,1,0,0.99999,8.0449e-6,-0.644817,0.64482,4.19519,4.33123
90,1,0,0.999988,1.28e-5,-0.644829,0.644832,4.1952,4.33124
91,1,0,0.999997,6.15006e-6,-0.644839,0.64484,4.19521,4.33125
92,1,0,1.00001,-4.02971e-6,-0.64484,0.644838,4.19521,4.33125
93,1,0,1.00001,-8.72413e-6,-0.644833,0.64483,4.19522,4.33126
94,1,0,1,-5.32788e-6,-0.644825,0.644824,4.19522,4.33127
95,1,0,0.999997,1.64225e-6,-0.644823,0.644824,4.19522,4.33127
96,1,0,0.999994,5.76123e-6,-0.644827,0.644829,4.19523,4.33128
97,1,0,0.999997,4.31485e-6,-0.644833,0.644834,4.19523,4.33128
98,1,0,1,-3.1047e-7,-0.644835,0.644834,4.19524,4.33128
99,1,0,1,-3.67515e-6,-0.644833,0.644832,4.19524,4.33128
100,1,0,1,-3.32845e-6,-0.644829,0.644828,4.19524,4.33129
100,1,0,1,-3.32845e-6,-0.644829,0.644828,4.19524,4.33129
100,1,0,1,-3.32845e-6,-0.644829,0.644828,4.19524,4.33129
100,0,1,1,-3.32845e-6,-0.644829,0.644828,4.19524,4.33129
101,0,1,1.25699,-0.364542,0.601864,-0.697171,5.53724,5.57798
102,0,1,0.283501,0.408176,1.65689,-1.51171,6.35178,6.63301
103,0,1,-0.692071,1.51362,1.67493,-1.26565,6.66817,6.91503
104,0,1,-0.892675,1.96588,0.85697,-0.395874,7.53795,7.733
105,0,1,-0.326425,1.53781,0.0460361,0.256523,8.19034,8.54393
106,0,1,0.380624,0.767655,-0.102893,0.210571,8.37473,8.76757
107,0,1,0.625088,0.353757,0.386305,-0.344104,8.9294,9.25677
108,0,1,0.30991,0.553606,0.978149,-0.847224,9.43252,9.84861
109,0,1,-0.187506,1.07141,1.17087,-0.902534,9.56472,10.0513
110,0,1,-0.424509,1.41838,0.89547,-0.562951,9.90431,10.3267
111,0,1,-0.265962,1.35077,0.477157,-0.189693,10.2776,10.745
112,0,1,0.0734055,1.01381,0.285932,-0.0924299,10.3913,10.9362
113,0,1,0.279264,0.739189,0.427126,-0.289716,10.5886,11.0779
114,0,1,0.214011,0.735741,0.71384,-0.557484,10.8564,11.3646
115,0,1,-0.0103429,0.947083,0.882096,-0.663474,10.9628,11.5329
116,0,1,-0.177363,1.15517,0.821461,-0.557141,11.0691,11.6049
117,0,1,-0.164281,1.19217,0.630994,-0.37094,11.2553,11.7953
118,0,1,-0.0209937,1.06545,0.493296,-0.273115,11.3532,11.933
119,0,1,0.108031,0.913368,0.508381,-0.323614,11.4064,11.9737
120,0,1,0.121401,0.864643,0.630692,-0.44917,11.532,12.096
121,0,1,0.0335239,0.936184,0.737764,-0.531709,11.6145,12.2031
122,0,1,-0.06233,1.0438,0.7462,-0.513766,11.6428,12.231
123,0,1,-0.086783,1.09246,0.67069,-0.4318,11.7247,12.3065
124,0,1,-0.0356097,1.05561,0.590711,-0.36617,11.7904,12.3865
125,0,1,0.0332393,0.981761,0.572019,-0.366469,11.8079,12.4099
126,0,1,0.0601423,0.938799,0.616379,-0.418068,11.8595,12.4543
