"time","r_11.y","r_22.y","y_11.y","y_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
75,1,0,0.961297,0.00864791,19.4649,3.25115,19.4649,0.16325
76,1,0,0.962536,0.00818253,19.503,3.25957,19.503,0.154835
77,1,0,0.963728,0.00774072,19.5398,3.26753,19.5398,0.146873
78,1,0,0.964876,0.00732125,19.5755,3.27506,19.5755,0.139342
79,1,0,0.965981,0.00692298,19.6101,3.28218,19.6101,0.13222
80,1,0,0.967047,0.00654488,19.6436,3.28892,19.6436,0.125486
81,1,0,0.968074,0.00618608,19.676,3.29528,19.676,0.119121
82,1,0,0.969064,0.00584584,19.7075,3.3013,19.7075,0.113105
83,1,0,0.970019,0.00552345,19.7379,3.30698,19.7379,0.10742
84,1,0,0.970941,0.00521827,19.7674,3.31235,19.7674,0.102049
85,1,0,0.97183,0.00492965,19.7961,3.31743,19.7961,0.0969755
86,1,0,0.972688,0.00465693,19.8238,3.32222,19.8238,0.0921822
87,1,0,0.973517,0.00439941,19.8507,3.32675,19.8507,0.0876541
88,1,0,0.974318,0.00415637,19.8768,3.33103,19.8768,0.0833762
89,1,0,0.975092,0.00392707,19.9021,3.33507,19.9021,0.0793344
90,1,0,0.97584,0.00371078,19.9266,3.33889,19.9266,0.0755155
91,1,0,0.976563,0.00350682,19.9504,3.3425,19.9504,0.0719067
92,1,0,0.977262,0.00331449,19.9735,3.34591,19.9735,0.0684961
93,1,0,0.977938,0.00313316,19.9959,3.34913,19.9959,0.0652723
94,1,0,0.978592,0.00296224,20.0176,3.35218,20.0176,0.0622246
95,1,0,0.979224,0.00280117,20.0387,3.35506,20.0387,0.0593429
96,1,0,0.979837,0.00264942,20.0592,3.35779,20.0592,0.0566176
97,1,0,0.980429,0.00250651,20.079,3.36036,20.079,0.0540396
98,1,0,0.981003,0.00237195,20.0983,3.3628,20.0983,0.0516004
99,1,0,0.981559,0.00224529,20.1171,3.36511,20.1171,0.0492917
100,1,0,0.982097,0.0021261,20.1352,3.3673,20.1352,0.0471061
101,1,0,0.982618,0.00201394,20.1529,3.36937,20.1529,0.045036
102,1,0,0.983123,0.00190842,20.17,3.37133,20.17,0.0430749
103,1,0,0.983612,0.00180913,20.1866,3.37319,20.1866,0.0412161
104,1,0,0.984086,0.0017157,20.2028,3.37495,20.2028,0.0394537
105,1,0,0.984546,0.00162779,20.2185,3.37662,20.2185,0.0377819
106,1,0,0.984991,0.00154506,20.2337,3.37821,20.2337,0.0361955
107,1,0,0.985423,0.00146719,20.2485,3.37971,20.2485,0.0346894
108,1,0,0.985842,0.00139389,20.2629,3.38114,20.2629,0.0332588
109,1,0,0.986248,0.00132489,20.2768,3.3825,20.2768,0.0318994
110,1,0,0.986642,0.00125992,20.2904,3.3838,20.2904,0.030607
111,1,0,0.987024,0.00119874,20.3035,3.38503,20.3035,0.0293777
112,1,0,0.987395,0.00114111,20.3163,3.3862,20.3163,0.0282078
113,1,0,0.987754,0.00108681,20.3287,3.38731,20.3287,0.0270938
114,1,0,0.988103,0.00103565,20.3408,3.38837,20.3408,0.0260326
115,1,0,0.988441,0.000987413,20.3525,3.38938,20.3525,0.0250211
116,1,0,0.98877,0.000941929,20.3639,3.39035,20.3639,0.0240564
117,1,0,0.989089,0.00089902,20.375,3.39127,20.375,0.0231359
118,1,0,0.989398,0.000858519,20.3858,3.39215,20.3858,0.0222572
119,1,0,0.989698,0.000820276,20.3962,3.39299,20.3962,0.0214178
120,1,0,0.98999,0.00078415,20.4064,3.39379,20.4064,0.0206155
121,1,0,0.990273,0.000750002,20.4162,3.39455,20.4162,0.0198485
122,1,0,0.990547,0.000717712,20.4258,3.39529,20.4258,0.0191146
123,1,0,0.990814,0.00068716,20.4352,3.39599,20.4352,0.0184122
124,1,0,0.991073,0.000658235,20.4442,3.39666,20.4442,0.0177395
125,1,0,0.991325,0.000630836,20.453,3.39731,20.453,0.0170949
126,1,0,0.991569,0.000604868,20.4616,3.39793,20.4616,0.0164771
127,1,0,0.991806,0.000580239,20.4699,3.39852,20.4699,0.0158845
128,1,0,0.992036,0.000556868,20.478,3.39909,20.478,0.015316
129,1,0,0.99226,0.000534674,20.4858,3.39963,20.4858,0.0147702
