"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_1.y","IE_2.y","IAE_1.y","IAE_2.y"
75,1,0,0.99107,0.0156029,6.95416,-9.76903,6.95416,9.76903
76,1,0,0.991402,0.0149686,6.96292,-9.78431,6.96292,9.78431
77,1,0,0.99172,0.0143672,6.97136,-9.79898,6.97136,9.79898
78,1,0,0.992024,0.0137968,6.97949,-9.81306,6.97949,9.81306
79,1,0,0.992316,0.0132553,6.98732,-9.82659,6.98732,9.82659
80,1,0,0.992595,0.012741,6.99486,-9.83959,6.99486,9.83959
81,1,0,0.992863,0.0122522,7.00213,-9.85208,7.00213,9.85208
82,1,0,0.993119,0.0117872,7.00914,-9.8641,7.00914,9.8641
83,1,0,0.993365,0.0113447,7.0159,-9.87567,7.0159,9.87567
84,1,0,0.993601,0.0109233,7.02242,-9.8868,7.02242,9.8868
85,1,0,0.993827,0.0105218,7.0287,-9.89753,7.0287,9.89753
86,1,0,0.994043,0.010139,7.03477,-9.90786,7.03477,9.90786
87,1,0,0.994251,0.00977386,7.04062,-9.91781,7.04062,9.91781
88,1,0,0.99445,0.00942542,7.04627,-9.92741,7.04627,9.92741
89,1,0,0.994642,0.00909276,7.05173,-9.93667,7.05173,9.93667
90,1,0,0.994825,0.008775,7.05699,-9.9456,7.05699,9.9456
91,1,0,0.995002,0.00847133,7.06208,-9.95423,7.06208,9.95423
92,1,0,0.995171,0.008181,7.06699,-9.96255,7.06699,9.96255
93,1,0,0.995334,0.00790327,7.07174,-9.9706,7.07174,9.9706
94,1,0,0.995491,0.00763748,7.07633,-9.97837,7.07633,9.97837
95,1,0,0.995641,0.00738298,7.08076,-9.98588,7.08076,9.98588
96,1,0,0.995786,0.00713917,7.08505,-9.99314,7.08505,9.99314
97,1,0,0.995926,0.00690546,7.08919,-10.0002,7.08919,10.0002
98,1,0,0.99606,0.00668133,7.0932,-10.007,7.0932,10.007
99,1,0,0.996189,0.00646626,7.09707,-10.0135,7.09707,10.0135
100,1,0,0.996313,0.00625978,7.10082,-10.0199,7.10082,10.0199
101,1,0,0.996433,0.00606144,7.10445,-10.0261,7.10445,10.0261
102,1,0,0.996548,0.00587081,7.10796,-10.032,7.10796,10.032
103,1,0,0.996659,0.00568748,7.11136,-10.0378,7.11136,10.0378
104,1,0,0.996766,0.0055111,7.11464,-10.0434,7.11464,10.0434
105,1,0,0.99687,0.0053413,7.11783,-10.0488,7.11783,10.0488
106,1,0,0.996969,0.00517777,7.12091,-10.0541,7.12091,10.0541
107,1,0,0.997065,0.00502018,7.12389,-10.0592,7.12389,10.0592
108,1,0,0.997158,0.00486826,7.12678,-10.0641,7.12678,10.0641
109,1,0,0.997247,0.00472173,7.12958,-10.0689,7.12958,10.0689
110,1,0,0.997333,0.00458033,7.13229,-10.0736,7.13229,10.0736
111,1,0,0.997417,0.00444383,7.13491,-10.0781,7.13491,10.0781
112,1,0,0.997497,0.004312,7.13745,-10.0825,7.13745,10.0825
113,1,0,0.997575,0.00418462,7.13992,-10.0867,7.13992,10.0867
114,1,0,0.99765,0.00406151,7.14231,-10.0908,7.14231,10.0908
115,1,0,0.997722,0.00394247,7.14462,-10.0948,7.14462,10.0948
116,1,0,0.997792,0.00382732,7.14686,-10.0987,7.14686,10.0987
117,1,0,0.99786,0.0037159,7.14904,-10.1025,7.14904,10.1025
118,1,0,0.997926,0.00360805,7.15114,-10.1062,7.15114,10.1062
119,1,0,0.997989,0.00350362,7.15319,-10.1097,7.15319,10.1097
120,1,0,0.99805,0.00340247,7.15517,-10.1132,7.15517,10.1132
121,1,0,0.99811,0.00330447,7.15709,-10.1165,7.15709,10.1165
122,1,0,0.998167,0.00320949,7.15895,-10.1198,7.15895,10.1198
123,1,0,0.998222,0.00311742,7.16075,-10.1229,7.16075,10.1229
124,1,0,0.998276,0.00302814,7.1625,-10.126,7.1625,10.126
125,1,0,0.998328,0.00294155,7.1642,-10.129,7.1642,10.129
126,1,0,0.998379,0.00285756,7.16585,-10.1319,7.16585,10.1319
127,1,0,0.998427,0.00277605,7.16744,-10.1347,7.16744,10.1347
128,1,0,0.998475,0.00269694,7.16899,-10.1374,7.16899,10.1374
129,1,0,0.998521,0.00262016,7.1705,-10.1401,7.1705,10.1401
130,1,0,0.998565,0.0025456,7.17195,-10.1427,7.17195,10.1427
131,1,0,0.998608,0.00247321,7.17337,-10.1452,7.17337,10.1452
132,1,0,0.99865,0.0024029,7.17474,-10.1476,7.17474,10.1476
133,1,0,0.99869,0.00233461,7.17607,-10.15,7.17607,10.15
134,1,0,0.998729,0.00226826,7.17736,-10.1523,7.17736,10.1523
135,1,0,0.998767,0.0022038,7.17861,-10.1545,7.17861,10.1545
136,1,0,0.998804,0.00214116,7.17983,-10.1567,7.17983,10.1567
137,1,0,0.998839,0.00208029,7.181,-10.1588,7.181,10.1588
138,1,0,0.998874,0.00202114,7.18215,-10.1609,7.18215,10.1609
139,1,0,0.998908,0.00196364,7.18326,-10.1629,7.18326,10.1629
140,1,0,0.99894,0.00190774,7.18433,-10.1648,7.18433,10.1648
141,1,0,0.998972,0.00185341,7.18538,-10.1667,7.18538,10.1667
142,1,0,0.999002,0.00180059,7.18639,-10.1685,7.18639,10.1685
143,1,0,0.999032,0.00174923,7.18737,-10.1703,7.18737,10.1703
144,1,0,0.999061,0.00169931,7.18833,-10.172,7.18833,10.172
145,1,0,0.999089,0.00165076,7.18925,-10.1737,7.18925,10.1737
146,1,0,0.999116,0.00160356,7.19015,-10.1753,7.19015,10.1753
147,1,0,0.999142,0.00155766,7.19102,-10.1769,7.19102,10.1769
148,1,0,0.999168,0.00151303,7.19187,-10.1784,7.19187,10.1784
149,1,0,0.999192,0.00146964,7.19269,-10.1799,7.19269,10.1799
150,1,0,0.999216,0.00142744,7.19348,-10.1814,7.19348,10.1814
151,1,0,0.99924,0.00138641,7.19425,-10.1828,7.19425,10.1828
152,1,0,0.999262,0.00134651,7.195,-10.1841,7.195,10.1841
153,1,0,0.999284,0.00130771,7.19573,-10.1855,7.19573,10.1855
154,1,0,0.999306,0.00126999,7.19643,-10.1868,7.19643,10.1868
155,1,0,0.999326,0.0012333,7.19712,-10.188,7.19712,10.188
156,1,0,0.999346,0.00119763,7.19778,-10.1892,7.19778,10.1892
157,1,0,0.999366,0.00116295,7.19843,-10.1904,7.19843,10.1904
158,1,0,0.999385,0.00112923,7.19905,-10.1916,7.19905,10.1916
159,1,0,0.999403,0.00109645,7.19966,-10.1927,7.19966,10.1927
160,1,0,0.999421,0.00106458,7.20024,-10.1937,7.20024,10.1937
161,1,0,0.999438,0.00103359,7.20082,-10.1948,7.20082,10.1948
162,1,0,0.999455,0.00100346,7.20137,-10.1958,7.20137,10.1958
163,1,0,0.999471,0.000974178,7.20191,-10.1968,7.20191,10.1968
164,1,0,0.999487,0.000945709,7.20243,-10.1978,7.20243,10.1978
165,1,0,0.999502,0.000918037,7.20293,-10.1987,7.20293,10.1987
166,1,0,0.999517,0.000891139,7.20342,-10.1996,7.20342,10.1996
167,1,0,0.999532,0.000864995,7.2039,-10.2005,7.2039,10.2005
168,1,0,0.999546,0.000839584,7.20436,-10.2013,7.20436,10.2013
169,1,0,0.999559,0.000814889,7.20481,-10.2022,7.20481,10.2022
170,1,0,0.999573,0.00079089,7.20524,-10.203,7.20524,10.203
171,1,0,0.999585,0.000767566,7.20566,-10.2037,7.20566,10.2037
172,1,0,0.999598,0.000744904,7.20607,-10.2045,7.20607,10.2045
173,1,0,0.99961,0.000722881,7.20647,-10.2052,7.20647,10.2052
174,1,0,0.999622,0.000701486,7.20685,-10.2059,7.20685,10.2059
175,1,0,0.999633,0.000680697,7.20722,-10.2066,7.20722,10.2066
176,1,0,0.999644,0.000660499,7.20759,-10.2073,7.20759,10.2073
177,1,0,0.999655,0.000640877,7.20794,-10.208,7.20794,10.208
178,1,0,0.999665,0.000621816,7.20828,-10.2086,7.20828,10.2086
179,1,0,0.999675,0.0006033,7.20861,-10.2092,7.20861,10.2092
180,1,0,0.999685,0.000585318,7.20893,-10.2098,7.20893,10.2098
181,1,0,0.999694,0.000567851,7.20924,-10.2104,7.20924,10.2104
182,1,0,0.999704,0.000550886,7.20954,-10.2109,7.20954,10.2109
183,1,0,0.999713,0.000534409,7.20983,-10.2115,7.20983,10.2115
184,1,0,0.999721,0.000518408,7.21011,-10.212,7.21011,10.212
185,1,0,0.99973,0.000502871,7.21039,-10.2125,7.21039,10.2125
186,1,0,0.999738,0.000487785,7.21065,-10.213,7.21065,10.213
187,1,0,0.999746,0.000473137,7.21091,-10.2135,7.21091,10.2135
188,1,0,0.999754,0.000458914,7.21116,-10.2139,7.21116,10.2139
189,1,0,0.999761,0.000445105,7.2114,-10.2144,7.2114,10.2144
190,1,0,0.999768,0.0004317,7.21164,-10.2148,7.21164,10.2148
191,1,0,0.999775,0.000418685,7.21187,-10.2153,7.21187,10.2153
192,1,0,0.999782,0.00040605,7.21209,-10.2157,7.21209,10.2157
193,1,0,0.999789,0.000393787,7.2123,-10.2161,7.2123,10.2161
194,1,0,0.999795,0.000381884,7.21251,-10.2165,7.21251,10.2165
195,1,0,0.999801,0.000370331,7.21271,-10.2168,7.21271,10.2168
196,1,0,0.999807,0.000359119,7.21291,-10.2172,7.21291,10.2172
197,1,0,0.999813,0.000348238,7.2131,-10.2176,7.2131,10.2176
198,1,0,0.999819,0.000337677,7.21328,-10.2179,7.21328,10.2179
199,1,0,0.999824,0.000327429,7.21346,-10.2182,7.21346,10.2182
200,1,0,0.99983,0.000317486,7.21363,-10.2186,7.21363,10.2186
201,1,0,0.999835,0.000307838,7.2138,-10.2189,7.2138,10.2189
202,1,0,0.99984,0.000298476,7.21396,-10.2192,7.21396,10.2192
203,1,0,0.999845,0.000289394,7.21412,-10.2195,7.21412,10.2195
204,1,0,0.99985,0.000280581,7.21427,-10.2197,7.21427,10.2197
205,1,0,0.999854,0.000272032,7.21442,-10.22,7.21442,10.22
206,1,0,0.999859,0.000263738,7.21457,-10.2203,7.21457,10.2203
207,1,0,0.999863,0.000255691,7.2147,-10.2206,7.2147,10.2206
208,1,0,0.999867,0.000247885,7.21484,-10.2208,7.21484,10.2208
209,1,0,0.999871,0.000240315,7.21497,-10.221,7.21497,10.221
210,1,0,0.999875,0.00023297,7.2151,-10.2213,7.2151,10.2213
211,1,0,0.999879,0.000225847,7.21522,-10.2215,7.21522,10.2215
212,1,0,0.999883,0.000218938,7.21534,-10.2217,7.21534,10.2217
213,1,0,0.999886,0.000212237,7.21545,-10.222,7.21545,10.222
214,1,0,0.99989,0.000205738,7.21557,-10.2222,7.21557,10.2222
215,1,0,0.999893,0.000199435,7.21568,-10.2224,7.21568,10.2224
216,1,0,0.999896,0.000193324,7.21578,-10.2226,7.21578,10.2226
217,1,0,0.9999,0.000187396,7.21588,-10.2228,7.21588,10.2228
218,1,0,0.999903,0.00018165,7.21598,-10.2229,7.21598,10.2229
219,1,0,0.999906,0.000176076,7.21608,-10.2231,7.21608,10.2231
220,1,0,0.999909,0.000170671,7.21617,-10.2233,7.21617,10.2233
221,1,0,0.999911,0.000165429,7.21626,-10.2235,7.21626,10.2235
222,1,0,0.999914,0.000160348,7.21635,-10.2236,7.21635,10.2236
223,1,0,0.999917,0.00015542,7.21643,-10.2238,7.21643,10.2238
224,1,0,0.999919,0.000150642,7.21651,-10.2239,7.21651,10.2239
225,1,0,0.999922,0.00014601,7.21659,-10.2241,7.21659,10.2241
226,1,0,0.999924,0.000141519,7.21667,-10.2242,7.21667,10.2242
227,1,0,0.999926,0.000137166,7.21675,-10.2244,7.21675,10.2244
228,1,0,0.999929,0.000132946,7.21682,-10.2245,7.21682,10.2245
229,1,0,0.999931,0.000128853,7.21689,-10.2246,7.21689,10.2246
230,1,0,0.999933,0.000124887,7.21696,-10.2248,7.21696,10.2248
231,1,0,0.999935,0.000121041,7.21702,-10.2249,7.21702,10.2249
232,1,0,0.999937,0.000117312,7.21709,-10.225,7.21709,10.225
233,1,0,0.999939,0.000113697,7.21715,-10.2251,7.21715,10.2251
234,1,0,0.999941,0.000110194,7.21721,-10.2252,7.21721,10.2252
235,1,0,0.999943,0.000106797,7.21727,-10.2253,7.21727,10.2253
236,1,0,0.999944,0.000103505,7.21732,-10.2254,7.21732,10.2254
237,1,0,0.999946,0.000100316,7.21738,-10.2255,7.21738,10.2255
238,1,0,0.999948,9.72245e-5,7.21743,-10.2256,7.21743,10.2256
239,1,0,0.999949,9.42275e-5,7.21748,-10.2257,7.21748,10.2257
240,1,0,0.999951,9.13208e-5,7.21753,-10.2258,7.21753,10.2258
241,1,0,0.999953,8.85037e-5,7.21758,-10.2259,7.21758,10.2259
242,1,0,0.999954,8.57731e-5,7.21763,-10.226,7.21763,10.226
243,1,0,0.999955,8.31255e-5,7.21767,-10.2261,7.21767,10.2261
244,1,0,0.999957,8.056e-5,7.21772,-10.2262,7.21772,10.2262
245,1,0,0.999958,7.80731e-5,7.21776,-10.2262,7.21776,10.2262
246,1,0,0.999959,7.56632e-5,7.2178,-10.2263,7.2178,10.2263
247,1,0,0.999961,7.33288e-5,7.21784,-10.2264,7.21784,10.2264
248,1,0,0.999962,7.10661e-5,7.21788,-10.2265,7.21788,10.2265
249,1,0,0.999963,6.88725e-5,7.21792,-10.2265,7.21792,10.2265
250,1,0,0.999964,6.67456e-5,7.21795,-10.2266,7.21795,10.2266
251,1,0,0.999965,6.46846e-5,7.21799,-10.2267,7.21799,10.2267
252,1,0,0.999966,6.26872e-5,7.21802,-10.2267,7.21802,10.2267
253,1,0,0.999967,6.07523e-5,7.21805,-10.2268,7.21805,10.2268
254,1,0,0.999968,5.8877e-5,7.21809,-10.2269,7.21809,10.2269
255,1,0,0.999969,5.70614e-5,7.21812,-10.2269,7.21812,10.2269
256,1,0,0.99997,5.53006e-5,7.21815,-10.227,7.21815,10.227
257,1,0,0.999971,5.35927e-5,7.21818,-10.227,7.21818,10.227
258,1,0,0.999972,5.19374e-5,7.21821,-10.2271,7.21821,10.2271
259,1,0,0.999973,5.03332e-5,7.21823,-10.2271,7.21823,10.2271
260,1,0,0.999974,4.87782e-5,7.21826,-10.2272,7.21826,10.2272
261,1,0,0.999975,4.72715e-5,7.21829,-10.2272,7.21829,10.2272
262,1,0,0.999975,4.58115e-5,7.21831,-10.2273,7.21831,10.2273
