"time","y_11.y","y_22.y","u_11.y","u_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
72,0.998933,-0.0107628,0.156623,0.0546487,6.86583,16.2317,1.76217,-0.31019
73,0.996435,-0.0113474,0.158111,0.0536076,6.86815,16.2428,1.76449,-0.299135
74,0.995132,-0.0118339,0.158963,0.0530704,6.87237,16.2544,1.7687,-0.287544
75,0.995411,-0.0121115,0.158815,0.0532122,6.8771,16.2663,1.77343,-0.275571
76,0.996823,-0.0121451,0.15786,0.0538394,6.88098,16.2785,1.77732,-0.263443
77,0.998414,-0.0119874,0.156678,0.0545344,6.88336,16.2905,1.7797,-0.251377
78,0.999274,-0.0117437,0.155889,0.0548979,6.88452,16.3024,1.78085,-0.239511
79,0.998997,-0.0115145,0.155836,0.0547505,6.88538,16.314,1.78172,-0.227882
80,0.997824,-0.0113466,0.156439,0.0541979,6.88697,16.3255,1.78331,-0.216451
81,0.996435,-0.011219,0.157293,0.0535413,6.88984,16.3367,1.78618,-0.205169
82,0.995549,-0.011065,0.157916,0.0530992,6.89385,16.3479,1.79019,-0.194027
83,0.99555,-0.010816,0.158002,0.0530427,6.8983,16.3588,1.79464,-0.183086
84,0.996327,-0.01044,0.15756,0.053326,6.90236,16.3694,1.7987,-0.172458
85,0.997398,-0.00995774,0.156867,0.0537371,6.9055,16.3796,1.80184,-0.162259
86,0.998194,-0.00942893,0.156296,0.0540269,6.9077,16.3893,1.80404,-0.152566
87,0.998368,-0.00892024,0.15611,0.054041,6.90942,16.3985,1.80576,-0.143391
88,0.997937,-0.00847332,0.156346,0.0537866,6.91127,16.4072,1.80761,-0.134694
89,0.997232,-0.00808902,0.156819,0.053409,6.91369,16.4155,1.81002,-0.126413
90,0.996686,-0.00773413,0.157246,0.0530997,6.91673,16.4234,1.81306,-0.118502
91,0.9966,-0.00736413,0.157406,0.052993,6.92008,16.431,1.81642,-0.110953
92,0.997007,-0.00694873,0.157241,0.0531039,6.92328,16.4381,1.81962,-0.103796
93,0.997683,-0.00648665,0.156868,0.0533357,6.92593,16.4448,1.82227,-0.0970785
94,0.998299,-0.00600349,0.156494,0.0535432,6.92794,16.4511,1.82428,-0.0908334
95,0.998597,-0.0055362,0.156306,0.0536128,6.92949,16.4568,1.82583,-0.0850635
96,0.998516,-0.00511344,0.156369,0.053517,6.93094,16.4622,1.82728,-0.0797387
