"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
75,44.8126,12.5232,44.8126,-12.5232,0.742161,0.291135,1,0
76,45.0682,12.8145,45.0682,-12.8145,0.746655,0.291413,1,0
77,45.3194,13.106,45.3194,-13.106,0.751017,0.291621,1,0
78,45.5662,13.3977,45.5662,-13.3977,0.755254,0.291764,1,0
79,45.8089,13.6895,45.8089,-13.6895,0.759367,0.291844,1,0
80,46.0475,13.9814,46.0475,-13.9814,0.763362,0.291864,1,0
81,46.2822,14.2732,46.2822,-14.2732,0.76724,0.291825,1,0
82,46.5131,14.565,46.5131,-14.565,0.771007,0.291732,1,0
83,46.7403,14.8566,46.7403,-14.8566,0.774664,0.291585,1,0
84,46.9638,15.1481,46.9638,-15.1481,0.778216,0.291387,1,0
85,47.1839,15.4394,47.1839,-15.4394,0.781666,0.291141,1,0
86,47.4006,15.7304,47.4006,-15.7304,0.785016,0.290848,1,0
87,47.6139,16.0211,47.6139,-16.0211,0.788271,0.290511,1,0
88,47.8241,16.3114,47.8241,-16.3114,0.791432,0.290132,1,0
89,48.0311,16.6013,48.0311,-16.6013,0.794503,0.289712,1,0
90,48.2351,16.8908,48.2351,-16.8908,0.797486,0.289253,1,0
91,48.4362,17.1798,48.4362,-17.1798,0.800385,0.288757,1,0
92,48.6344,17.4683,48.6344,-17.4683,0.803203,0.288226,1,0
93,48.8298,17.7562,48.8298,-17.7562,0.80594,0.287661,1,0
94,49.0225,18.0436,49.0225,-18.0436,0.808601,0.287064,1,0
95,49.2126,18.3303,49.2126,-18.3303,0.811188,0.286437,1,0
96,49.4002,18.6164,49.4002,-18.6164,0.813703,0.285781,1,0
97,49.5853,18.9019,49.5853,-18.9019,0.816148,0.285097,1,0
98,49.7679,19.1866,49.7679,-19.1866,0.818526,0.284387,1,0
99,49.9483,19.4706,49.9483,-19.4706,0.820839,0.283651,1,0
100,50.1263,19.7539,50.1263,-19.7539,0.823088,0.282892,1,0
101,50.3021,20.0364,50.3021,-20.0364,0.825277,0.28211,1,0
102,50.4758,20.3181,50.4758,-20.3181,0.827407,0.281307,1,0
103,50.6473,20.599,50.6473,-20.599,0.82948,0.280484,1,0
104,50.8168,20.8791,50.8168,-20.8791,0.831498,0.279641,1,0
105,50.9844,21.1583,50.9844,-21.1583,0.833462,0.27878,1,0
106,51.1499,21.4366,51.1499,-21.4366,0.835376,0.277902,1,0
107,51.3136,21.7141,51.3136,-21.7141,0.837239,0.277007,1,0
108,51.4755,21.9906,51.4755,-21.9906,0.839054,0.276097,1,0
109,51.6355,22.2663,51.6355,-22.2663,0.840823,0.275173,1,0
110,51.7939,22.541,51.7939,-22.541,0.842546,0.274235,1,0
111,51.9505,22.8147,51.9505,-22.8147,0.844227,0.273284,1,0
112,52.1054,23.0875,52.1054,-23.0875,0.845865,0.27232,1,0
113,52.2588,23.3594,52.2588,-23.3594,0.847462,0.271346,1,0
114,52.4105,23.6302,52.4105,-23.6302,0.849021,0.270361,1,0
115,52.5607,23.9001,52.5607,-23.9001,0.850541,0.269365,1,0
116,52.7095,24.169,52.7095,-24.169,0.852025,0.268361,1,0
117,52.8567,24.4368,52.8567,-24.4368,0.853473,0.267347,1,0
118,53.0025,24.7036,53.0025,-24.7036,0.854888,0.266325,1,0
119,53.1469,24.9695,53.1469,-24.9695,0.856269,0.265296,1,0
